,album,duration,explicit,track_number,trackid
245,4mJDS3LoUwlQoHwWPA51mP,190160,True,1,11XJv03e4TstO4pGCH8I92
246,4mJDS3LoUwlQoHwWPA51mP,211773,True,2,6QtP1yKSrBOfi19H42PofQ
247,4mJDS3LoUwlQoHwWPA51mP,232106,False,3,5J3e7zEpNCOHnZqPS7J2e7
248,4mJDS3LoUwlQoHwWPA51mP,285600,False,4,1o05Yo4eW0sToranRJ2ob1
249,4mJDS3LoUwlQoHwWPA51mP,219866,False,5,2MV2nCDSriuSCcULkZb3ab
250,4mJDS3LoUwlQoHwWPA51mP,270946,False,6,6xa7TJrVIJERDG3SyE88Lv
251,4mJDS3LoUwlQoHwWPA51mP,224240,False,7,0a142v1CCf6PAv31lHbqaU
252,4mJDS3LoUwlQoHwWPA51mP,231093,False,8,41nzaNdx6drwsDHeiQxA9f
253,4mJDS3LoUwlQoHwWPA51mP,236240,False,9,45LIIG1yBzOTMVeyfluV8F
254,4mJDS3LoUwlQoHwWPA51mP,181466,False,10,52x2M3oOHziTwo8ebuEgCv
255,4mJDS3LoUwlQoHwWPA51mP,248613,False,11,4PqnW9w84WoI8Wlm3bx8SX
256,4mJDS3LoUwlQoHwWPA51mP,337666,False,12,0jDbDV9TUbjtGYtdDLbntu
257,4mJDS3LoUwlQoHwWPA51mP,206362,False,13,58v2EQxelBQapeonYBSW9n
258,4mJDS3LoUwlQoHwWPA51mP,197607,True,14,7yqM4JOLCN1hQjdAjFSbJx
259,3c1JDmgLbqVAiOcbMxqddk,190160,True,1,3NxwkFf6FJbQXEktkn5N2M
260,3c1JDmgLbqVAiOcbMxqddk,211773,True,2,5ZwAMbbgA9OoDjNF0HoRpa
261,3c1JDmgLbqVAiOcbMxqddk,232106,False,3,1tbuG6qgrko2BlDdYxZExu
262,3c1JDmgLbqVAiOcbMxqddk,285600,False,4,0ns40uqTG5Z4pPqvbt0YRl
263,3c1JDmgLbqVAiOcbMxqddk,219866,False,5,44CNwfEvlfJq74ktaO3DKd
264,3c1JDmgLbqVAiOcbMxqddk,270946,False,6,0nLWyIW0fjZwuJrBKlIhv8
265,3c1JDmgLbqVAiOcbMxqddk,224240,False,7,2kaeqcotus1En6ZO39SRGp
